Order ID,Customer ID,Product ID,Date,Original Price,Discount%,Customer Age,City,State,Category,Sub-category,Product Name,Brand Name,Size,Color,Ratings,Discounted Price
3Z7NMH93YY,30155,57WMFK72,2022-11-10,4380,23,31,Nashik,Maharashtra,Accessories,Bag,Denim Bag,Denim,XXL,White,5.0,3372.6
7DVTVEFGNX,96875,J7NBNEMX,2024-07-25,2666,21,35,Chennai,Tamil Nadu,Footwear,Casual Shoes,WROGN Casual Shoes,WROGN,XXL,Grey,2.1,2106.14
QCI98EU8UD,10561,E5QS9HRF,2023-05-09,2006,26,24,New Delhi,Delhi,Kids,Kids Shoes,Puma Kids Shoes,Puma,S,Pink,4.6,1484.44
Z1P5W1WDG7,65164,ODB25ORC,2022-09-27,1827,32,55,Surat,Gujarat,Footwear,Casual Shoes,H&M Casual Shoes,H&M,M,Blue,1.3,1242.36
W47Z36QSAJ,26495,6WI2A1RT,2022-03-14,4855,68,28,Mangalore,Karnataka,Footwear,Sandals,H&M Sandals,H&M,XS,Black,1.1,1553.5999999999997
FK6F2DNYE3,81654,AL0U4FCH,2023-03-03,2043,69,26,Lucknow,Uttar Pradesh,Footwear,Sandals,RedTape Sandals,RedTape,M,Black,2.5,633.3300000000002
VG533N46LP,84086,A06YCZVG,2022-10-03,2328,17,17,Karol Bagh,Delhi,Kids,Kids Jeans,RedTape Kids Jeans,RedTape,XS,Black,1.2,1932.24
69DTZT5C4T,68728,T034SW9H,2023-05-13,3899,5,36,Dwarka,Delhi,Women,Leggings,Puma Leggings,Puma,S,Green,4.2,3704.0499999999997
LGNN8AXB1U,82536,M5NQMUDW,2022-10-28,4631,6,23,Patna,Bihar,Kids,Kids T-Shirt,H&M Kids T-Shirt,H&M,M,Blue,4.9,4353.139999999999
16QDTI1AT9,27658,2C69WHJW,2022-11-17,3667,66,42,New Delhi,Delhi,Kids,Kids Shoes,RedTape Kids Shoes,RedTape,M,Yellow,4.2,1246.78
0U6HGOD4RW,48661,3RLC5XHL,2023-10-24,4480,37,16,Mysuru,Karnataka,Footwear,Sports Shoes,Campus Sports Shoes,Campus,XXL,Green,3.9,2822.4
32YXF5EPGE,98203,KBKNA1P0,2023-11-03,1101,6,55,Coimbatore,Tamil Nadu,Women,Kurti,Nike Kurti,Nike,L,Black,2.3,1034.94
GPBUBTC1BI,96461,NUZ4QECO,2023-02-10,2843,32,28,Mysuru,Karnataka,Accessories,Sunglasses,Levis Sunglasses,Levis,XS,Blue,1.5,1933.2399999999998
MMY68A0PXK,34014,LP6WP2AY,2023-03-21,4332,13,22,Mysuru,Karnataka,Men,Jeans,Roadster Jeans,Roadster,XXL,Yellow,4.9,3768.84
VPK1MP0T4Q,95669,IW61LFGC,2024-03-15,1793,61,36,Mysuru,Karnataka,Women,Top,HRX Top,HRX,XL,Brown,2.0,699.27
9066VP025U,74959,MRN05CPQ,2024-02-06,2938,38,41,Nashik,Maharashtra,Men,T-Shirts,HRX T-Shirts,HRX,S,Green,2.7,1821.56
3CK5G8O2RB,83842,F74QEK97,2022-11-24,3660,30,46,Surat,Gujarat,Kids,Kids T-Shirt,Levis Kids T-Shirt,Levis,M,Yellow,4.2,2562.0
2NYAAUZJOD,53096,CMSTZ5VY,2023-04-01,3592,34,52,Vadodara,Gujarat,Accessories,Bag,Denim Bag,Denim,XS,Blue,4.3,2370.72
KB2O3L2BCJ,21832,8OSY2M9Q,2024-12-11,3648,45,41,Vadodara,Gujarat,Women,Saree,Nike Saree,Nike,XXL,Yellow,4.2,2006.4
LACFSORF2U,15556,O6ST6OSQ,2022-01-18,2390,67,22,Coimbatore,Tamil Nadu,Accessories,Watch,Puma Watch,Puma,XS,Green,4.0,788.6999999999999
HZ3XU8NVNE,52486,G1ROZC4P,2022-06-04,4522,44,46,Karol Bagh,Delhi,Kids,Kids Shoes,Puma Kids Shoes,Puma,S,Blue,3.3,2532.32
7XH2MQWYLR,39787,7M5MN16K,2022-10-04,3034,16,30,Mysuru,Karnataka,Women,Saree,HRX Saree,HRX,S,Grey,4.5,2548.56
BOH7J2YTC5,26686,9CM725YV,2023-03-08,1176,12,20,Kolkata,West Bengal,Accessories,Bag,Puma Bag,Puma,L,Yellow,1.6,1034.88
XUU8B6DKMF,93264,MQ7XNF4Z,2023-02-23,944,43,25,Nashik,Maharashtra,Men,Shoes,HRX Shoes,HRX,S,Black,1.1,538.08
UYSEYG5RA6,80054,IEXT2ALC,2022-04-29,4927,19,48,Bhagalpur,Bihar,Kids,Kids Jeans,Campus Kids Jeans,Campus,XL,Yellow,4.8,3990.8700000000003
NYBKPB76U9,12001,XDG3HY2W,2023-11-12,3971,42,45,Ahmedabad,Gujarat,Kids,Kids Jeans,Zara Kids Jeans,Zara,L,Yellow,2.6,2303.1800000000003
8CNGRJ28UH,17992,CC2GUSBN,2024-03-08,4426,28,58,Surat,Gujarat,Kids,Kids T-Shirt,Levis Kids T-Shirt,Levis,L,Red,2.4,3186.72
0KXEU59ISV,59203,G2U2Y5SZ,2023-09-27,2402,19,43,Nagpur,Maharashtra,Accessories,Belt,Campus Belt,Campus,XS,Red,2.0,1945.6200000000001
WLAV2TCKHJ,86123,AHOM390C,2022-01-22,3032,70,57,Chennai,Tamil Nadu,Women,Leggings,Nike Leggings,Nike,M,White,4.7,909.6000000000001
AV07RWD6HQ,69709,ABGSLDPB,2024-04-10,371,44,58,Gaya,Bihar,Kids,Kids T-Shirt,Puma Kids T-Shirt,Puma,S,Green,1.5,207.76000000000002
6GBLLEHZUZ,95779,XPLN5D0G,2024-01-19,1323,54,22,Kolkata,West Bengal,Women,Top,HRX Top,HRX,M,Black,2.0,608.5799999999999
I9WKZIC0PD,80614,35SMJ6EI,2022-12-03,2469,52,37,Coimbatore,Tamil Nadu,Accessories,Sunglasses,USPolo Sunglasses,USPolo,XL,Yellow,1.9,1185.12
XII7C2KP9Y,68845,47ZURPVX,2024-04-02,3337,67,20,Kanpur,Uttar Pradesh,Women,Top,Levis Top,Levis,S,Blue,4.7,1101.2099999999998
L31BKHVJH6,23025,OQC8T6HC,2024-07-10,2075,33,25,New Delhi,Delhi,Footwear,Sandals,Biba Sandals,Biba,XXL,Blue,2.7,1390.2499999999998
3VKF6POG6U,87896,QZHWMTOS,2023-03-12,1139,24,59,Chennai,Tamil Nadu,Men,T-Shirts,HRX T-Shirts,HRX,XS,Green,3.0,865.64
VXZRV4XAYX,19776,OSO010IE,2022-02-26,4027,8,40,Pune,Maharashtra,Footwear,Casual Shoes,USPolo Casual Shoes,USPolo,S,Brown,1.4,3704.84
H10JFRBHR4,57103,R6QWT0EU,2022-11-15,3923,10,24,Madurai,Tamil Nadu,Women,Leggings,Denim Leggings,Denim,XL,Yellow,2.6,3530.7000000000003
O6DSZQO3DZ,22971,2BG5OKBR,2023-09-24,3929,66,15,Durgapur,West Bengal,Footwear,Sandals,HRX Sandals,HRX,S,Yellow,2.0,1335.86
EBMJH46I5X,30655,81KSGJTF,2023-04-07,3525,5,32,Gaya,Bihar,Women,Kurti,Biba Kurti,Biba,XXL,Green,3.0,3348.75
5CI5CZSEGW,40068,VO37ZZZN,2024-12-10,1094,66,27,Ahmedabad,Gujarat,Women,Top,Denim Top,Denim,M,Green,2.5,371.96
72CUN7U45T,84242,IDIJDIP6,2023-03-06,2945,49,49,Madurai,Tamil Nadu,Men,T-Shirts,Adidas T-Shirts,Adidas,S,Blue,4.2,1501.95
BTSTIBPI1E,78993,25KT8UMB,2022-06-30,2919,31,22,New Delhi,Delhi,Footwear,Sports Shoes,RedTape Sports Shoes,RedTape,S,Red,1.0,2014.11
R3708YOB95,75358,US57MDKE,2024-08-11,2845,39,45,New Delhi,Delhi,Women,Saree,Puma Saree,Puma,XL,Black,3.0,1735.45
TEXB1BY492,99540,0HQAO2F5,2024-01-06,1165,21,32,Chennai,Tamil Nadu,Accessories,Watch,Roadster Watch,Roadster,S,Pink,4.5,920.35
AGGB12IF6W,33204,0ZZQ5Q9X,2022-09-02,3010,23,42,Mangalore,Karnataka,Accessories,Sunglasses,H&M Sunglasses,H&M,S,Blue,1.6,2317.7000000000003
EEDJYG5VOP,78126,6K0H7HVU,2024-02-10,528,20,19,Nashik,Maharashtra,Men,T-Shirts,USPolo T-Shirts,USPolo,L,Grey,2.6,422.40000000000003
16BNYUHVNN,52523,59JAYHIS,2022-11-04,1631,56,27,Madurai,Tamil Nadu,Men,Jeans,HRX Jeans,HRX,XS,Brown,4.8,717.6399999999999
N9OATYQ55G,30442,OYLGD7W9,2023-03-07,570,18,38,Surat,Gujarat,Footwear,Sandals,Levis Sandals,Levis,XS,Black,2.5,467.40000000000003
ICXC4697KS,21661,KQABACLM,2023-12-15,1603,39,53,Vadodara,Gujarat,Kids,Kids Jeans,WROGN Kids Jeans,WROGN,S,Grey,4.4,977.8299999999999
PNVP5S2COZ,18880,S4FBEN4V,2022-01-16,4767,52,25,Durgapur,West Bengal,Footwear,Casual Shoes,Nike Casual Shoes,Nike,S,Grey,1.9,2288.16
5KH3HY2QYB,27158,LWNGEKXN,2022-03-01,3074,36,49,New Delhi,Delhi,Accessories,Bag,Denim Bag,Denim,XL,Yellow,3.1,1967.3600000000001
QFJ6OYWVND,96024,B6K7BQQJ,2024-01-23,4359,48,24,Dwarka,Delhi,Accessories,Bag,Levis Bag,Levis,M,Brown,3.6,2266.6800000000003
PGRPMTHSPQ,34813,LJRJBHS2,2023-07-16,2097,55,33,Howrah,West Bengal,Accessories,Sunglasses,Adidas Sunglasses,Adidas,XL,Red,1.5,943.6499999999999
IDYG28ZM90,45117,2IO6C444,2024-01-11,1270,69,60,New Delhi,Delhi,Accessories,Sunglasses,Roadster Sunglasses,Roadster,S,Brown,4.0,393.70000000000005
9XRHAA3IVZ,76725,C2WAISFS,2022-09-28,1871,42,21,Chennai,Tamil Nadu,Footwear,Casual Shoes,Adidas Casual Shoes,Adidas,L,Yellow,2.5,1085.18
